App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Sentiment_Polarity,Avg_Sentiment_Subjectivity,Reviews_log,Installs_log,Cluster,DBSCAN_Cluster
Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,0.1526515151515151,0.641540404040404,6.875232087276577,13.122365377402328,3,0
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,0.2684828944203944,0.5234474150677855,9.531843992903474,13.815511557963774,1,0
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,0.4126488095238095,0.6792261904761905,12.17673136962806,15.424948670398354,0,0
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,0.2835087719298245,0.4792982456140351,6.484635235635252,11.51293546492023,1,0
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,0.1718359526825084,0.5727620177523428,9.91645313492615,13.122365377402328,1,0
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,0.2918571428571428,0.5463650793650794,5.318119993844216,11.51293546492023,1,0
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,0.3609907670454546,0.5071180555555556,8.524367395164237,11.51293546492023,1,0
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,0.0994526143790849,0.5367647058823529,6.923628628138427,11.51293546492023,3,0
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,13.0,5000000,Free,0.0,Everyone,Art & Design,"July 14, 2018",Varies with device,2.3.3 and up,0.2646154758654758,0.4655839280839281,10.508895818788067,15.424948670398354,0,0
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.6.1,4.1 and up,0.2048395689349636,0.5360009824483508,12.069863384901188,16.118095750958314,0,0
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.241125992063492,0.477825176366843,8.958668737047434,11.51293546492023,1,0
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up,0.3085747474747474,0.4943182127396412,7.796469243086058,11.51293546492023,1,0
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 3, 2018",1.7,4.2 and up,0.2956603213254998,0.559805860222877,8.714567550836485,11.51293546492023,1,0
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000,Free,0.0,Teen,Auto & Vehicles,"July 11, 2018",Varies with device,5.0 and up,0.2877923040754261,0.5447434959291718,12.513266861915456,16.118095750958314,0,0
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0.0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up,-0.1333333333333332,0.4888888888888889,6.902742737158593,11.51293546492023,3,-1
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000,Free,0.0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.3,2.3 and up,0.3076986076986077,0.5282896532896533,5.855071922202427,11.51293546492023,1,0
